claim_id,label,claim,edge_score,node_score,verified_edges,kg_edges
4728,REFUTES,James VI and I was a major adversary of a single parliament for Scotland.,1.0,0.860687255859375,"[{'head': 'Scotland', 'type': 'legislative body', 'tail': 'parliament'}]","[{'head': 'Scotland', 'type': 'legislative body', 'tail': 'Scottish Parliament'}]"
787,REFUTES,Shawn Carlson is only German.,0.0,0.9261970221996307,[],[]
493,SUPPORTS,Nuuk is a seat of government.,1.0,0.7146455347537994,"[{'head': 'Nuuk', 'type': 'instance of', 'tail': 'seat of government'}]","[{'head': 'Nuuk', 'type': 'instance of', 'tail': 'capital'}]"
3106,SUPPORTS,The Armenian Genocide was the Ottoman government's systematic extermination of 1.5 million Armenians.,0.0,0.18792085349559784,[],[]
4713,REFUTES,Tool has won three Oscars.,0.0,0.170924574136734,[],[]
6916,NOT ENOUGH INFO,Underdog features the voice talents of Angelina Jolie.,0.0,0.6484083533287048,[],[]
5719,REFUTES,Qui-Gon Jinn is married to Liam Neeson.,0.0,1.0,[],[]
5579,SUPPORTS,Australia (2008 film) production took place in Bowen.,0.0,0.7409032881259918,[],[]
6807,SUPPORTS,"Camden, New Jersey is the home of a school that was founded as the South Jersey Law School in 1926.",0.0,0.8989920318126678,[],[]
9504,SUPPORTS,Pink covered the song Rhythm Nation.,1.0,0.6551626920700073,"[{'head': 'Rhythm Nation', 'type': 'performer', 'tail': 'Pink'}]","[{'head': 'Rhythm Nation', 'type': 'performer', 'tail': 'Janet Jackson'}]"
7836,SUPPORTS,Meteora is an album.,0.0,0.17862102389335632,[],[]
9944,NOT ENOUGH INFO,The Armenian Genocide took place in the Ottoman Empire and the Republic of Turkey.,0.0,0.9999999701976776,[],[]
6275,REFUTES,Recovery is an album focusing on themes of isolation and addiction.,0.0,0.6786209940910339,[],[]
8048,NOT ENOUGH INFO,Human trafficking leads to unfree labor.,0.0,0.2844219505786896,[],[]
9503,SUPPORTS,Rhythm Nation was covered by Pink.,1.0,0.6551626920700073,"[{'head': 'Rhythm Nation', 'type': 'performer', 'tail': 'Pink'}]","[{'head': 'Rhythm Nation', 'type': 'performer', 'tail': 'Janet Jackson'}]"
5075,SUPPORTS,The State of Palestine claims the West Bank.,1.0,1.0,"[{'head': 'West Bank', 'type': 'country', 'tail': 'State of Palestine'}]","[{'head': 'West Bank', 'type': 'country', 'tail': 'State of Palestine'}]"
7336,REFUTES,Lizzy Caplan is incapable of appearing in multiple television shows.,0.0,0.3553428053855896,[],[]
7244,NOT ENOUGH INFO,Creedence Clearwater Revival was informally abbreviated to CCR in 1970.,0.0,1.0,[],[]
5421,REFUTES,Stephen Hillenburg developed an interest in everything but art.,0.0,0.5,[],[]
5136,SUPPORTS,The Greek language is spoken in Italy.,0.0,0.883563220500946,[],[]
5737,SUPPORTS,Melancholia was directed by Lars von Trier.,0.0,0.9999999701976776,[],[]
5398,NOT ENOUGH INFO,Miranda Otto began her cooking career at age 18.,0.0,0.12358185648918152,[],[]
7682,SUPPORTS,Britt Robertson is an actress.,0.0,0.6477365791797638,[],[]
8982,SUPPORTS,A Milli is a song by a hip hop recording artist.,0.0,0.9848275184631348,[],[]
6414,REFUTES,The Godfather Part II is a political party.,0.0,0.9703451991081238,[],[]
6893,SUPPORTS,Underdog features the voice talents of Amy Adams.,0.0,0.14840836822986603,[],[]
8248,REFUTES,The Good Wife is a movie.,0.0,0.6826709508895874,[],[]
5454,REFUTES,Jack Falahee's middle name is Bryan.,0.0,1.0,[],[]
9718,SUPPORTS,Leonard Nimoy narrated a computer game.,0.0,0.7844664454460144,[],[]
8429,REFUTES,The series finale of Make It or Break It is ending on its 5th season.,0.0,0.8010073602199554,[],[]
8564,NOT ENOUGH INFO,The Quran is believed to have been created by Allah's disciples.,0.0,1.0,[],[]
5488,SUPPORTS,Water is part of the History of Earth.,0.0,0.9745628237724304,[],[]
8492,SUPPORTS,Stanley Williams was a convicted criminal.,0.0,0.3431631326675415,[],[]
7179,NOT ENOUGH INFO,Taran Killam is a stage actor.,0.0,0.13526323437690735,[],[]
6810,SUPPORTS,The Hundred Years' War includes the Edwardian Era War and was the first phase in the war.,0.0,0.5659067630767822,[],[]
8221,SUPPORTS,Ashley Cole is English.,0.0,1.0,[],[]
6680,SUPPORTS,PacSun vends items made for teens.,0.0,0.3809564709663391,[],[]
9693,SUPPORTS,Touchscreens are used in game consoles.,0.0,0.4642859101295471,[],[]
5765,SUPPORTS,Hot Right Now is from the album Nextlevelism.,1.0,1.0,"[{'head': 'Hot Right Now', 'type': 'part of', 'tail': 'Nextlevelism'}]","[{'head': 'Hot Right Now', 'type': 'part of', 'tail': 'Nextlevelism'}]"
6285,SUPPORTS,Harold Macmillan was British.,0.0,1.0,[],[]
7683,NOT ENOUGH INFO,Britt Robertson is a singer.,0.0,0.9199919402599335,[],[]
8847,REFUTES,Ludwig van Beethoven was a saxophonist.,0.0,0.6811558902263641,[],[]
5076,REFUTES,The State of Palestine claims Algeria.,0.0,0.9449484050273895,[],[]
7876,SUPPORTS,The ruins of the ancient Roman town of Herculaneum lie near Naples.,0.0,0.8673718273639679,[],[]
7059,SUPPORTS,The Road to El Dorado stars Jim Cummings.,0.0,0.8685790300369263,[],[]
9292,SUPPORTS,The Mirny (sloop-of-war) circumnavigated the globe.,0.0,0.6110670417547226,[],[]
6113,SUPPORTS,Richard Alf was one of the founders of San Diego Comic-Con.,0.0,1.0,[],[]
6080,NOT ENOUGH INFO,Kenneth Edwards produced Soul Food.,0.0,1.0,[],[]
5504,NOT ENOUGH INFO,A monster will only heal and inspire hope.,0.0,0.1958889663219452,[],[]
9849,REFUTES,Michigan is not a U.S. state.,0.0,0.8947508335113525,[],[]
7208,SUPPORTS,Colombiana is a French film.,0.0,0.7437179088592529,[],[]
